"","ENSEMBL","log2FoldChange","padj"
"1","ENSMUSG00000102331",0.0073,0.609297808736345
"2","ENSMUSG00000025902",-0.048,0.0941073917410822
"3","ENSMUSG00000103922",3e-04,0.99947907438902
"4","ENSMUSG00000033845",0.0837,0.879500223849179
"5","ENSMUSG00000025903",0.0087,0.99947907438902
"6","ENSMUSG00000033813",0.0138,0.99947907438902
"7","ENSMUSG00000062588",-0.0082,0.996062108733735
"8","ENSMUSG00000103280",0.0045,0.99947907438902
"9","ENSMUSG00000002459",0.2119,0.446770180956582
"10","ENSMUSG00000091305",0.0121,0.962699001089446
"11","ENSMUSG00000102653",0.0214,0.964097170798868
"12","ENSMUSG00000085623",-0.0221,0.93626188817981
"13","ENSMUSG00000033793",0.0893,0.900098751520451
"14","ENSMUSG00000025907",0.0486,0.945150861211837
"15","ENSMUSG00000090031",0.0107,0.995252237345488
"16","ENSMUSG00000051285",-0.0081,0.99947907438902
"17","ENSMUSG00000103509",-0.0017,0.99947907438902
"18","ENSMUSG00000025909",9e-04,0.99947907438902
"19","ENSMUSG00000103411",0.0082,0.970609866104637
"20","ENSMUSG00000061024",-0.0425,0.99224064201754
"21","ENSMUSG00000025911",0.0483,0.991157300355586
"22","ENSMUSG00000079671",0.0058,0.996432226611783
"23","ENSMUSG00000067879",-0.0211,0.286000487547675
"24","ENSMUSG00000045210",0.0034,0.99947907438902
"25","ENSMUSG00000097893",0.0031,0.99947907438902
"26","ENSMUSG00000025915",0.0244,0.995391456002029
"27","ENSMUSG00000098234",0.0136,0.99947907438902
"28","ENSMUSG00000099032",-0.0013,0.99947907438902
"29","ENSMUSG00000025916",0.0164,0.987935224314068
"30","ENSMUSG00000025917",0.1062,0.846909807327764
"31","ENSMUSG00000056763",-0.0171,0.99947907438902
"32","ENSMUSG00000067851",2e-04,0.99947907438902
"33","ENSMUSG00000048960",0.0208,0.999199069246559
"34","ENSMUSG00000016918",-0.0302,0.494210473751813
"35","ENSMUSG00000005886",0.0112,0.99947907438902
"36","ENSMUSG00000102664",0.0209,0.634300627921088
"37","ENSMUSG00000025935",0.016,0.99947907438902
"38","ENSMUSG00000025937",0.0462,0.982193673313513
"39","ENSMUSG00000102982",0.0122,0.922117167865342
"40","ENSMUSG00000025932",0.0409,0.940059554409448
"41","ENSMUSG00000025930",-0.0021,0.99947907438902
"42","ENSMUSG00000025925",-0.0429,0.970609866104637
"43","ENSMUSG00000032719",-0.0105,0.928726869804138
"44","ENSMUSG00000067795",0.0021,0.99947907438902
"45","ENSMUSG00000043716",0.0145,0.99947907438902
"46","ENSMUSG00000025921",-0.067,0.956391528095703
"47","ENSMUSG00000025920",0.0359,0.951798982578896
"48","ENSMUSG00000025939",-0.0334,0.994275884107517
"49","ENSMUSG00000079658",-0.0799,0.890900778414716
"50","ENSMUSG00000025940",0.021,0.997903122047966
"51","ENSMUSG00000025779",0.0104,0.997625818070572
"52","ENSMUSG00000025777",0.0072,0.99598269142179
"53","ENSMUSG00000041859",-0.0104,0.99947907438902
"54","ENSMUSG00000099714",0.0099,0.293427088684985
"55","ENSMUSG00000097934",0.0206,0.978290575452506
"56","ENSMUSG00000025931",0.0479,0.985426256471396
"57","ENSMUSG00000100929",0.0063,0.99224064201754
"58","ENSMUSG00000041809",-0.0305,0.940059554409448
"59","ENSMUSG00000041779",-0.0293,0.986945979412659
"60","ENSMUSG00000100819",0.0057,0.99947907438902
"61","ENSMUSG00000025933",-0.1145,0.765444895110479
"62","ENSMUSG00000025934",-0.0048,0.99947907438902
